,id,Metacyc_ID,SMILES,KEGG_ID
487,487,CPD-22284,O=CCC(O)C(O)CO,
488,488,CPD-22286,OCC1OC(O)CC1O,C01677
489,489,NUKED-PENTOSE-RING,OCC1OCC(O)C1O,
490,490,CPD0-2167,CC1OC(O)C(O)C1O,C22161
491,491,CPD-1093,CC(=O)C(O)C(O)CO,C05958
492,492,CPD-19226,O=Cc1ccc(C=O)cc1,
493,493,PHENYLGLYOXAL,O=CC(=O)c1ccccc1,
494,494,CPD-15790,O=Cc1ccccc1C=O,
495,495,1-INDANOL,OC1CCc2ccccc21,C01589
496,496,CPD-19228,O=CCCc1ccccc1,
497,497,CPD-23551,CCC(=O)c1ccccc1,
498,498,CPD-9933,CC=Cc1ccc(O)cc1,C20372
499,499,CINNAMYL-ALC,OCC=Cc1ccccc1,C02226
500,500,CPD-7233,CC(=O)Cc1ccccc1,C15233
501,501,CPD-6483,C=CCc1ccc(O)cc1,C16418
502,502,CPD-1001,Cc1ccc(C(C)C)cc1,C06315
